# impostor_mean=0.0281	impostor_p95=0.2535	cmn=none	th_across=0.178	th_tight=0.3	th_f0_st=3.0
spk	n_clips	intra_cos_mean	intra_cos_min	worst_pair	split	across_cos	within_min	f0_gap_st	type
cv_0282	8	0.2909	-0.0550	common_voice_ja_45091475.wav|common_voice_ja_45003244.wav	2/6	0.1041	0.1626	1.17	MIX?
cv_0236	8	0.2969	-0.0502	common_voice_ja_39457389.wav|common_voice_ja_39428182.wav	3/5	0.1575	0.3520	1.16	MIX?
cv_0094	8	0.3017	-0.0505	common_voice_ja_43692086.wav|common_voice_ja_43691914.wav	5/3	0.1377	0.4894	1.14	MIX?
cv_0138	8	0.2745	-0.0638	common_voice_ja_36317147.wav|common_voice_ja_36317763.wav	2/6	0.1575	0.1432	1.13	MIX?
cv_0190	8	0.2421	-0.0974	common_voice_ja_39068302.wav|common_voice_ja_39033004.wav	4/4	0.0742	0.3106	1.12	MIX?
cv_0146	8	0.3422	-0.0226	common_voice_ja_44448199.wav|common_voice_ja_39074883.wav	4/4	0.0319	0.6596	0.81	MIX?
cv_0239	8	0.2132	-0.1416	common_voice_ja_41802424.wav|common_voice_ja_41802387.wav	3/5	0.1470	0.2013	0.63	MIX?
cv_0025	8	0.2760	-0.0523	common_voice_ja_39068839.wav|common_voice_ja_39079723.wav	3/5	0.1749	0.0849	0.58	MIX?
cv_0091	8	0.1746	-0.0235	common_voice_ja_42147495.wav|common_voice_ja_42151553.wav	4/4	0.1246	0.2135	0.17	MIX?
cv_0218	8	0.3297	-0.0063	common_voice_ja_42180948.wav|common_voice_ja_42145954.wav	6/2	0.1238	0.4692	0.17	MIX?
cv_0228	8	0.2624	0.0594	common_voice_ja_38990244.wav|common_voice_ja_38989167.wav	6/2	0.1713	0.3257	0.13	MIX?
cv_0059	8	0.2790	-0.0336	common_voice_ja_36345237.wav|common_voice_ja_36347571.wav	2/6	0.1312	0.3192	0.13	MIX?
cv_0198	8	0.1627	-0.0562	common_voice_ja_36367629.wav|common_voice_ja_36343194.wav	5/3	0.1524	0.1703	0.02	MIX?
cv_0028	8	0.3659	-0.1995	common_voice_ja_39093559.wav|common_voice_ja_39029901.wav	7/1	-0.1069	0.5235	10.39	outlier
cv_0248	8	0.5284	0.0531	common_voice_ja_41969155.wav|common_voice_ja_41969074.wav	7/1	0.1589	0.6515	3.34	outlier
cv_0054	8	0.3187	-0.0050	common_voice_ja_36359283.wav|common_voice_ja_36360008.wav	7/1	0.0988	0.3919	2.02	outlier
cv_0194	8	0.4958	-0.0209	common_voice_ja_36220626.wav|common_voice_ja_36221393.wav	7/1	0.1258	0.6191	1.46	outlier
cv_0108	8	0.4169	0.0636	common_voice_ja_36259296.wav|common_voice_ja_36257787.wav	1/7	0.1564	0.5038	0.56	outlier
cv_0178	8	0.4082	0.0719	common_voice_ja_36319791.wav|common_voice_ja_36210358.wav	7/1	0.1762	0.4856	0.28	outlier
cv_0199	8	0.3967	0.0805	common_voice_ja_36178542.wav|common_voice_ja_36181081.wav	1/7	0.1261	0.4870	0.08	outlier
cv_0151	8	0.7051	0.4694	common_voice_ja_36339387.wav|common_voice_ja_36338883.wav	7/1	0.5897	0.7436	11.53	ok
cv_0007	8	0.4063	-0.0110	common_voice_ja_39822872.wav|common_voice_ja_39875583.wav	2/6	0.2348	0.5247	9.49	ok
cv_0165	8	0.4281	0.1978	common_voice_ja_45142478.wav|common_voice_ja_45141439.wav	6/2	0.2887	0.5288	8.55	ok
cv_0266	8	0.4395	0.2086	common_voice_ja_35294041.wav|common_voice_ja_36477357.wav	3/5	0.3833	0.4734	7.10	ok
cv_0021	8	0.3419	0.1574	common_voice_ja_39028047.wav|common_voice_ja_39049160.wav	2/6	0.2716	0.2558	5.56	ok
cv_0285	8	0.4505	0.1821	common_voice_ja_36364580.wav|common_voice_ja_36367003.wav	6/2	0.3229	0.5410	4.44	ok
cv_0122	8	0.2278	-0.0055	common_voice_ja_39071430.wav|common_voice_ja_39075367.wav	2/6	0.1940	0.0474	4.25	ok
cv_0142	8	0.4923	0.2814	common_voice_ja_39265385.wav|common_voice_ja_39264131.wav	2/6	0.4662	0.5079	4.25	ok
cv_0133	8	0.3505	0.1036	common_voice_ja_39236614.wav|common_voice_ja_39237180.wav	5/3	0.3156	0.2339	4.05	ok
cv_0011	8	0.4500	0.1038	common_voice_ja_38999497.wav|common_voice_ja_38999554.wav	1/7	0.2309	0.5230	3.69	ok
cv_0275	8	0.4894	0.1871	common_voice_ja_36336341.wav|common_voice_ja_36336370.wav	4/4	0.4529	0.5139	3.66	ok
cv_0008	8	0.3976	0.1244	common_voice_ja_39073773.wav|common_voice_ja_39074790.wav	6/2	0.3206	0.3363	3.55	ok
cv_0096	8	0.6453	0.4999	common_voice_ja_39076808.wav|common_voice_ja_39074871.wav	6/2	0.6094	0.6709	3.45	ok
cv_0045	8	0.6960	0.5040	common_voice_ja_36143825.wav|common_voice_ja_36143606.wav	4/4	0.6580	0.7194	3.07	ok
cv_0272	8	0.4604	0.2353	common_voice_ja_45125193.wav|common_voice_ja_45124617.wav	5/3	0.4411	0.4645	3.05	ok
cv_0260	8	0.4126	0.1410	common_voice_ja_36378493.wav|common_voice_ja_37185640.wav	5/3	0.3047	0.4938	3.04	ok
cv_0124	8	0.5000	0.2054	common_voice_ja_39008998.wav|common_voice_ja_39008572.wav	4/4	0.4576	0.4753	3.01	ok
cv_0113	8	0.3997	0.1271	common_voice_ja_36321079.wav|common_voice_ja_36309920.wav	5/3	0.3492	0.3632	2.93	ok
cv_0115	8	0.4092	-0.0020	common_voice_ja_39888415.wav|common_voice_ja_39888340.wav	2/6	0.2393	0.4801	2.91	ok
cv_0223	8	0.5146	0.2277	common_voice_ja_38977639.wav|common_voice_ja_38977778.wav	2/6	0.3914	0.5323	2.73	ok
cv_0267	8	0.5266	0.0242	common_voice_ja_41985890.wav|common_voice_ja_41985788.wav	3/5	0.4443	0.5254	2.67	ok
cv_0171	8	0.5361	0.3184	common_voice_ja_19482505.wav|common_voice_ja_20013797.wav	7/1	0.4042	0.5801	2.65	ok
cv_0293	8	0.4041	0.1690	common_voice_ja_39065301.wav|common_voice_ja_39082646.wav	1/7	0.2663	0.4500	2.60	ok
cv_0257	8	0.4420	0.0785	common_voice_ja_45159082.wav|common_voice_ja_45156416.wav	7/1	0.1948	0.5244	2.59	ok
cv_0031	8	0.6077	0.3169	common_voice_ja_39881988.wav|common_voice_ja_39881983.wav	7/1	0.4102	0.6735	2.49	ok
cv_0202	8	0.4952	0.2269	common_voice_ja_27656659.wav|common_voice_ja_27660878.wav	3/5	0.4399	0.5266	2.42	ok
cv_0149	8	0.6944	0.4939	common_voice_ja_36328874.wav|common_voice_ja_36295000.wav	4/4	0.6463	0.7488	2.31	ok
cv_0290	8	0.3572	0.0774	common_voice_ja_39103436.wav|common_voice_ja_39102516.wav	2/6	0.2086	0.4625	2.28	ok
cv_0046	8	0.3007	0.1010	common_voice_ja_39092333.wav|common_voice_ja_39087883.wav	3/5	0.2128	0.3989	2.25	ok
cv_0035	8	0.3514	0.0584	common_voice_ja_38988651.wav|common_voice_ja_38987948.wav	5/3	0.2219	0.4935	2.22	ok
cv_0263	8	0.3067	0.0114	common_voice_ja_39539289.wav|common_voice_ja_39539291.wav	6/2	0.2854	0.3158	2.16	ok
cv_0080	8	0.5390	0.2408	common_voice_ja_36182959.wav|common_voice_ja_36181981.wav	5/3	0.5063	0.5299	2.15	ok
cv_0268	8	0.4515	0.1049	common_voice_ja_45149290.wav|common_voice_ja_45143671.wav	5/3	0.3603	0.5164	2.15	ok
cv_0220	8	0.7706	0.5092	common_voice_ja_36361417.wav|common_voice_ja_36362056.wav	3/5	0.7396	0.8047	2.05	ok
cv_0215	8	0.3765	0.1268	common_voice_ja_35947180.wav|common_voice_ja_35946407.wav	2/6	0.2814	0.2491	2.03	ok
cv_0167	8	0.4306	0.1659	common_voice_ja_38853093.wav|common_voice_ja_38853456.wav	2/6	0.3290	0.4248	1.92	ok
cv_0280	8	0.5112	0.2019	common_voice_ja_45154002.wav|common_voice_ja_45154546.wav	5/3	0.4638	0.5411	1.89	ok
cv_0101	8	0.4756	0.1541	common_voice_ja_39741159.wav|common_voice_ja_39741326.wav	2/6	0.3975	0.5333	1.83	ok
cv_0052	8	0.4551	0.1542	common_voice_ja_39539378.wav|common_voice_ja_39539543.wav	5/3	0.4376	0.4735	1.82	ok
cv_0032	8	0.5381	0.3482	common_voice_ja_45162161.wav|common_voice_ja_45162247.wav	1/7	0.4216	0.5770	1.80	ok
cv_0034	8	0.4169	0.1100	common_voice_ja_39049977.wav|common_voice_ja_39049813.wav	6/2	0.3484	0.4005	1.80	ok
cv_0029	8	0.5003	0.1983	common_voice_ja_44574531.wav|common_voice_ja_45095267.wav	6/2	0.3444	0.6157	1.78	ok
cv_0287	8	0.6190	0.2735	common_voice_ja_36316468.wav|common_voice_ja_36316453.wav	3/5	0.5547	0.6237	1.75	ok
cv_0196	8	0.4040	0.0696	common_voice_ja_41910979.wav|common_voice_ja_41911044.wav	4/4	0.3520	0.4432	1.74	ok
cv_0153	8	0.5390	0.2494	common_voice_ja_43888767.wav|common_voice_ja_43886288.wav	4/4	0.4844	0.6032	1.71	ok
cv_0161	8	0.4030	0.1450	common_voice_ja_35999922.wav|common_voice_ja_35998237.wav	4/4	0.3723	0.4244	1.69	ok
cv_0112	8	0.4037	0.0705	common_voice_ja_39039873.wav|common_voice_ja_39038521.wav	2/6	0.2833	0.4214	1.67	ok
cv_0238	8	0.3201	0.0448	common_voice_ja_45162318.wav|common_voice_ja_45154139.wav	2/6	0.2512	0.3044	1.61	ok
cv_0217	8	0.4456	0.2824	common_voice_ja_36927307.wav|common_voice_ja_36927257.wav	5/3	0.3856	0.4481	1.61	ok
cv_0144	8	0.5298	0.3176	common_voice_ja_41838808.wav|common_voice_ja_41838775.wav	2/6	0.4553	0.5417	1.60	ok
cv_0055	8	0.4140	0.1104	common_voice_ja_36348502.wav|common_voice_ja_36348207.wav	6/2	0.2545	0.5276	1.59	ok
cv_0069	8	0.4189	0.1649	common_voice_ja_41935701.wav|common_voice_ja_38831536.wav	1/7	0.2270	0.4829	1.59	ok
cv_0126	8	0.5461	0.2441	common_voice_ja_38864568.wav|common_voice_ja_38864389.wav	6/2	0.4879	0.5353	1.56	ok
cv_0063	8	0.5088	0.1109	common_voice_ja_39019528.wav|common_voice_ja_39018776.wav	4/4	0.4577	0.5491	1.51	ok
cv_0081	8	0.3512	0.1060	common_voice_ja_37528621.wav|common_voice_ja_37307372.wav	2/6	0.2689	0.3697	1.51	ok
cv_0204	8	0.6497	0.3874	common_voice_ja_39118448.wav|common_voice_ja_39118459.wav	1/7	0.4306	0.7227	1.47	ok
cv_0295	8	0.4288	0.1008	common_voice_ja_41826882.wav|common_voice_ja_41809867.wav	4/4	0.3726	0.4774	1.46	ok
cv_0240	8	0.7727	0.5464	common_voice_ja_38850130.wav|common_voice_ja_38850157.wav	7/1	0.6172	0.8246	1.45	ok
cv_0189	8	0.6545	0.4378	common_voice_ja_38853735.wav|common_voice_ja_38853762.wav	7/1	0.5420	0.6920	1.42	ok
cv_0111	8	0.5434	0.3350	common_voice_ja_39084937.wav|common_voice_ja_39092252.wav	7/1	0.4031	0.5901	1.42	ok
cv_0002	8	0.3586	0.0807	common_voice_ja_39042701.wav|common_voice_ja_39044469.wav	4/4	0.3301	0.3873	1.40	ok
cv_0252	8	0.4772	0.2901	common_voice_ja_38939674.wav|common_voice_ja_38939465.wav	5/3	0.4338	0.5250	1.36	ok
cv_0026	8	0.4053	0.1650	common_voice_ja_41879008.wav|common_voice_ja_41878808.wav	2/6	0.3591	0.4367	1.34	ok
cv_0197	8	0.4587	0.1939	common_voice_ja_39056460.wav|common_voice_ja_39053751.wav	2/6	0.3647	0.5119	1.33	ok
cv_0056	8	0.3596	0.0855	common_voice_ja_42111352.wav|common_voice_ja_42111422.wav	2/6	0.2614	0.4146	1.32	ok
cv_0125	8	0.3439	0.0347	common_voice_ja_39087580.wav|common_voice_ja_39077005.wav	4/4	0.2943	0.3412	1.29	ok
cv_0041	8	0.6316	0.4224	common_voice_ja_41981128.wav|common_voice_ja_41981052.wav	6/2	0.5652	0.6790	1.29	ok
cv_0271	8	0.6305	0.4071	common_voice_ja_38833686.wav|common_voice_ja_38833738.wav	4/4	0.6149	0.6034	1.28	ok
cv_0051	8	0.6374	0.3255	common_voice_ja_36369788.wav|common_voice_ja_36370153.wav	2/6	0.5286	0.7166	1.25	ok
cv_0004	8	0.2750	0.0011	common_voice_ja_39027210.wav|common_voice_ja_39027923.wav	2/6	0.1920	0.2012	1.24	ok
cv_0205	8	0.5537	0.3270	common_voice_ja_36284084.wav|common_voice_ja_36284090.wav	5/3	0.4931	0.5958	1.23	ok
cv_0244	8	0.4915	0.1815	common_voice_ja_42134597.wav|common_voice_ja_42134739.wav	5/3	0.4383	0.4814	1.16	ok
cv_0137	8	0.5055	0.3007	common_voice_ja_39036221.wav|common_voice_ja_39037561.wav	3/5	0.4521	0.5614	1.15	ok
cv_0300	8	0.5401	0.3470	common_voice_ja_36295451.wav|common_voice_ja_36295652.wav	4/4	0.5145	0.5095	1.15	ok
cv_0090	8	0.6078	0.4383	common_voice_ja_35851597.wav|common_voice_ja_35852191.wav	1/7	0.5412	0.6301	1.14	ok
cv_0251	8	0.3868	0.1037	common_voice_ja_36365248.wav|common_voice_ja_36368585.wav	1/7	0.1833	0.4546	1.13	ok
cv_0120	8	0.3702	0.1211	common_voice_ja_42152006.wav|common_voice_ja_42151952.wav	5/3	0.3022	0.4224	1.12	ok
cv_0175	8	0.5812	0.3679	common_voice_ja_42152965.wav|common_voice_ja_42153128.wav	3/5	0.5464	0.5929	1.11	ok
cv_0030	8	0.6229	0.3098	common_voice_ja_39087551.wav|common_voice_ja_39092192.wav	6/2	0.5512	0.6284	1.08	ok
cv_0231	8	0.3584	0.1258	common_voice_ja_36326066.wav|common_voice_ja_36325713.wav	3/5	0.2088	0.5133	1.06	ok
cv_0187	8	0.4572	0.1719	common_voice_ja_37654093.wav|common_voice_ja_37625618.wav	2/6	0.3027	0.5730	1.06	ok
cv_0255	8	0.6678	0.4135	common_voice_ja_36333441.wav|common_voice_ja_36333274.wav	6/2	0.5442	0.6655	1.06	ok
cv_0222	8	0.5687	0.2781	common_voice_ja_36237145.wav|common_voice_ja_36236931.wav	5/3	0.4692	0.6371	1.05	ok
cv_0159	8	0.3640	0.1478	common_voice_ja_39068488.wav|common_voice_ja_39069075.wav	5/3	0.3349	0.3960	1.04	ok
cv_0009	8	0.5145	0.2361	common_voice_ja_39003009.wav|common_voice_ja_39002755.wav	5/3	0.4892	0.5277	1.03	ok
cv_0119	8	0.5648	0.2938	common_voice_ja_39076428.wav|common_voice_ja_39077635.wav	6/2	0.5036	0.5203	1.02	ok
cv_0246	8	0.5726	0.3219	common_voice_ja_36356615.wav|common_voice_ja_36355120.wav	7/1	0.4575	0.6110	1.01	ok
cv_0273	8	0.6316	0.4819	common_voice_ja_36283950.wav|common_voice_ja_36284180.wav	4/4	0.6168	0.6412	1.01	ok
cv_0221	8	0.4471	0.2299	common_voice_ja_44569007.wav|common_voice_ja_44568940.wav	4/4	0.3739	0.5406	1.00	ok
cv_0040	8	0.4804	0.2355	common_voice_ja_36463175.wav|common_voice_ja_36463123.wav	5/3	0.4348	0.4822	1.00	ok
cv_0158	8	0.3697	0.0997	common_voice_ja_45157892.wav|common_voice_ja_45156474.wav	5/3	0.3054	0.4357	0.99	ok
cv_0229	8	0.5192	0.2559	common_voice_ja_36300689.wav|common_voice_ja_36300860.wav	4/4	0.4712	0.5701	0.98	ok
cv_0049	8	0.4971	0.2632	common_voice_ja_36358719.wav|common_voice_ja_36350889.wav	2/6	0.4116	0.5540	0.98	ok
cv_0070	8	0.6495	0.4852	common_voice_ja_39065537.wav|common_voice_ja_39066736.wav	4/4	0.6322	0.6379	0.97	ok
cv_0192	8	0.4070	0.0530	common_voice_ja_39055073.wav|common_voice_ja_39056455.wav	4/4	0.3621	0.3263	0.96	ok
cv_0207	8	0.6268	0.4075	common_voice_ja_36334983.wav|common_voice_ja_36335062.wav	6/2	0.5529	0.6816	0.96	ok
cv_0286	8	0.4947	0.1692	common_voice_ja_38993850.wav|common_voice_ja_38993064.wav	1/7	0.2611	0.5725	0.93	ok
cv_0073	8	0.2535	-0.1024	common_voice_ja_39020838.wav|common_voice_ja_39020941.wav	2/6	0.1941	0.2928	0.93	ok
cv_0195	8	0.5938	0.3999	common_voice_ja_38827523.wav|common_voice_ja_38611812.wav	4/4	0.5637	0.6158	0.92	ok
cv_0129	8	0.5380	0.3424	common_voice_ja_42047676.wav|common_voice_ja_42047621.wav	1/7	0.4155	0.5789	0.90	ok
cv_0261	8	0.3385	-0.0164	common_voice_ja_39171284.wav|common_voice_ja_39171907.wav	4/4	0.2917	0.3423	0.90	ok
cv_0162	8	0.4467	0.0162	common_voice_ja_44674578.wav|common_voice_ja_45149607.wav	1/7	0.1838	0.5343	0.89	ok
cv_0208	8	0.4802	0.2596	common_voice_ja_37174842.wav|common_voice_ja_37664210.wav	6/2	0.3876	0.4875	0.89	ok
cv_0104	8	0.5686	0.3858	common_voice_ja_38971903.wav|common_voice_ja_38972038.wav	4/4	0.5275	0.5772	0.88	ok
cv_0249	8	0.6789	0.4314	common_voice_ja_36359191.wav|common_voice_ja_36359540.wav	5/3	0.6367	0.6652	0.88	ok
cv_0043	8	0.2604	-0.0086	common_voice_ja_38994782.wav|common_voice_ja_38995479.wav	3/5	0.2166	0.2878	0.87	ok
cv_0123	8	0.4516	0.2635	common_voice_ja_36349295.wav|common_voice_ja_36348958.wav	3/5	0.4076	0.4794	0.85	ok
cv_0044	8	0.4958	0.1473	common_voice_ja_42138504.wav|common_voice_ja_42138532.wav	6/2	0.3872	0.4697	0.85	ok
cv_0134	8	0.2494	0.0254	common_voice_ja_41789584.wav|common_voice_ja_41789753.wav	4/4	0.1860	0.3155	0.85	ok
cv_0143	8	0.5671	0.2830	common_voice_ja_45056876.wav|common_voice_ja_45058158.wav	1/7	0.3707	0.6325	0.83	ok
cv_0299	8	0.4903	0.2848	common_voice_ja_36298569.wav|common_voice_ja_36298491.wav	3/5	0.4340	0.5217	0.82	ok
cv_0103	8	0.7181	0.5086	common_voice_ja_35678630.wav|common_voice_ja_35677882.wav	3/5	0.6590	0.7300	0.82	ok
cv_0106	8	0.5936	0.2985	common_voice_ja_36415963.wav|common_voice_ja_36415897.wav	5/3	0.5487	0.6302	0.81	ok
cv_0201	8	0.6080	0.2971	common_voice_ja_39001272.wav|common_voice_ja_39034751.wav	6/2	0.5050	0.4115	0.79	ok
cv_0179	8	0.5569	0.3008	common_voice_ja_39003326.wav|common_voice_ja_39002264.wav	7/1	0.3905	0.6124	0.79	ok
cv_0027	8	0.4314	0.1534	common_voice_ja_39053583.wav|common_voice_ja_39076709.wav	3/5	0.3735	0.4837	0.79	ok
cv_0206	8	0.5504	0.3100	common_voice_ja_36369675.wav|common_voice_ja_36370261.wav	5/3	0.5296	0.5576	0.79	ok
cv_0064	8	0.6638	0.4131	common_voice_ja_36296417.wav|common_voice_ja_36296808.wav	3/5	0.6268	0.6815	0.76	ok
cv_0067	8	0.4349	0.1890	common_voice_ja_35948014.wav|common_voice_ja_35949165.wav	6/2	0.3435	0.4928	0.76	ok
cv_0083	8	0.6048	0.4144	common_voice_ja_35847992.wav|common_voice_ja_35848424.wav	3/5	0.5117	0.7028	0.76	ok
cv_0135	8	0.4885	0.1877	common_voice_ja_38900908.wav|common_voice_ja_38872809.wav	3/5	0.4199	0.4755	0.75	ok
cv_0225	8	0.2427	0.0528	common_voice_ja_39089041.wav|common_voice_ja_39083099.wav	3/5	0.1958	0.2590	0.75	ok
cv_0250	8	0.8161	0.6761	common_voice_ja_36324364.wav|common_voice_ja_36324854.wav	5/3	0.7972	0.8316	0.73	ok
cv_0211	8	0.4463	0.1690	common_voice_ja_35872490.wav|common_voice_ja_35872777.wav	6/2	0.3720	0.3551	0.73	ok
cv_0005	8	0.5800	0.4128	common_voice_ja_39064166.wav|common_voice_ja_39064174.wav	6/2	0.5087	0.5205	0.73	ok
cv_0117	8	0.7096	0.5436	common_voice_ja_30670343.wav|common_voice_ja_30645858.wav	7/1	0.6123	0.7420	0.72	ok
cv_0292	8	0.4236	0.1138	common_voice_ja_45157039.wav|common_voice_ja_45127465.wav	7/1	0.2406	0.4845	0.71	ok
cv_0237	8	0.3179	0.0070	common_voice_ja_37662041.wav|common_voice_ja_37660255.wav	6/2	0.2292	0.3783	0.71	ok
cv_0160	8	0.4216	0.2387	common_voice_ja_39024391.wav|common_voice_ja_39023999.wav	3/5	0.3790	0.3895	0.70	ok
cv_0233	8	0.5960	0.3165	common_voice_ja_42122125.wav|common_voice_ja_42122225.wav	3/5	0.5352	0.6510	0.70	ok
cv_0241	8	0.6120	0.4457	common_voice_ja_39045456.wav|common_voice_ja_39044341.wav	2/6	0.5420	0.5906	0.69	ok
cv_0152	8	0.5399	0.2549	common_voice_ja_42054818.wav|common_voice_ja_42054793.wav	5/3	0.4402	0.6502	0.68	ok
cv_0141	8	0.4477	0.0442	common_voice_ja_35845558.wav|common_voice_ja_35844709.wav	6/2	0.3505	0.5131	0.67	ok
cv_0084	8	0.4278	0.1382	common_voice_ja_39178764.wav|common_voice_ja_39179210.wav	5/3	0.3684	0.4947	0.67	ok
cv_0013	8	0.6633	0.3739	common_voice_ja_38833994.wav|common_voice_ja_38834011.wav	4/4	0.6140	0.6884	0.66	ok
cv_0185	8	0.4957	0.2687	common_voice_ja_39071257.wav|common_voice_ja_39070478.wav	4/4	0.4665	0.5178	0.65	ok
cv_0012	8	0.6173	0.3786	common_voice_ja_38883718.wav|common_voice_ja_38883839.wav	6/2	0.5834	0.5956	0.65	ok
cv_0296	8	0.3703	0.1133	common_voice_ja_45122342.wav|common_voice_ja_45104006.wav	3/5	0.3031	0.4418	0.65	ok
cv_0184	8	0.5104	0.2181	common_voice_ja_44759201.wav|common_voice_ja_44759224.wav	2/6	0.4723	0.4712	0.60	ok
cv_0262	8	0.4482	0.1651	common_voice_ja_42067078.wav|common_voice_ja_42067174.wav	2/6	0.3537	0.4669	0.60	ok
cv_0140	8	0.5960	0.2565	common_voice_ja_36326007.wav|common_voice_ja_36325218.wav	7/1	0.3577	0.6754	0.60	ok
cv_0154	8	0.6355	0.4778	common_voice_ja_39012848.wav|common_voice_ja_39013016.wav	4/4	0.6355	0.6208	0.59	ok
cv_0186	8	0.7760	0.5496	common_voice_ja_36306454.wav|common_voice_ja_36306315.wav	7/1	0.6363	0.8226	0.58	ok
cv_0245	8	0.5396	0.2787	common_voice_ja_39056611.wav|common_voice_ja_39059621.wav	7/1	0.3631	0.5984	0.57	ok
cv_0177	8	0.5947	0.3907	common_voice_ja_39679948.wav|common_voice_ja_39680109.wav	4/4	0.5511	0.5738	0.56	ok
cv_0259	8	0.5353	0.2872	common_voice_ja_39006523.wav|common_voice_ja_39006658.wav	4/4	0.5020	0.5549	0.56	ok
cv_0107	8	0.5135	0.2548	common_voice_ja_39004873.wav|common_voice_ja_39003814.wav	4/4	0.4655	0.5529	0.56	ok
cv_0097	8	0.5126	0.2479	common_voice_ja_39088949.wav|common_voice_ja_39088991.wav	2/6	0.4608	0.5507	0.54	ok
cv_0169	8	0.5241	0.2915	common_voice_ja_38903190.wav|common_voice_ja_38902950.wav	5/3	0.4034	0.5423	0.53	ok
cv_0253	8	0.5642	0.3264	common_voice_ja_38841647.wav|common_voice_ja_38841706.wav	3/5	0.5050	0.5735	0.53	ok
cv_0219	8	0.3901	0.1783	common_voice_ja_28594277.wav|common_voice_ja_36439513.wav	5/3	0.3158	0.4635	0.52	ok
cv_0234	8	0.5284	0.2142	common_voice_ja_36338910.wav|common_voice_ja_36339521.wav	5/3	0.5103	0.5238	0.52	ok
cv_0085	8	0.4264	0.0453	common_voice_ja_39025943.wav|common_voice_ja_38993478.wav	4/4	0.3991	0.3999	0.52	ok
cv_0147	8	0.5593	0.1736	common_voice_ja_44716069.wav|common_voice_ja_44717435.wav	7/1	0.2718	0.6551	0.52	ok
cv_0276	8	0.6465	0.4706	common_voice_ja_36155973.wav|common_voice_ja_36153647.wav	4/4	0.6282	0.6613	0.51	ok
cv_0033	8	0.5612	0.3723	common_voice_ja_44374091.wav|common_voice_ja_44374648.wav	4/4	0.5446	0.5645	0.51	ok
cv_0014	8	0.4628	0.0805	common_voice_ja_42132783.wav|common_voice_ja_42133890.wav	2/6	0.3849	0.5209	0.49	ok
cv_0235	8	0.4801	0.2395	common_voice_ja_38898521.wav|common_voice_ja_38911583.wav	3/5	0.3988	0.5081	0.49	ok
cv_0017	8	0.4985	0.2297	common_voice_ja_37581773.wav|common_voice_ja_37660987.wav	5/3	0.4454	0.4441	0.48	ok
cv_0203	8	0.5943	0.3521	common_voice_ja_39097398.wav|common_voice_ja_39097499.wav	2/6	0.5343	0.6205	0.47	ok
cv_0227	8	0.4277	0.2762	common_voice_ja_39089830.wav|common_voice_ja_39086360.wav	3/5	0.4178	0.4231	0.47	ok
cv_0243	8	0.5853	0.4114	common_voice_ja_38896201.wav|common_voice_ja_38896318.wav	6/2	0.5700	0.5783	0.46	ok
cv_0156	8	0.4990	0.1045	common_voice_ja_38864012.wav|common_voice_ja_38863746.wav	5/3	0.3934	0.6168	0.46	ok
cv_0086	8	0.5524	0.2388	common_voice_ja_33211785.wav|common_voice_ja_33084826.wav	7/1	0.3272	0.6274	0.45	ok
cv_0230	8	0.6065	0.3830	common_voice_ja_44925920.wav|common_voice_ja_44943145.wav	4/4	0.5172	0.6571	0.45	ok
cv_0274	8	0.4631	0.2673	common_voice_ja_36323625.wav|common_voice_ja_36323787.wav	5/3	0.4176	0.3990	0.45	ok
