spk	uid	orig_s	trim_s	ratio	mora	mora_per_s	cutoff_hz	band
cv_0007	common_voice_ja_39875557	2.340	2.305	0.985	0			
cv_0007	common_voice_ja_39875509	2.268	2.206	0.973	5	2.27		
cv_0008	common_voice_ja_39073773	5.436	4.423	0.814	0		10823.571296751968	~11-12k(源22-24k)
cv_0008	common_voice_ja_39074785	8.460	7.988	0.944	51	6.38	10950.384947311046	~11-12k(源22-24k)
cv_0008	common_voice_ja_39075033	2.268	0.731	0.322	7	9.58		
cv_0008	common_voice_ja_39074955	2.808	1.672	0.595	0			
cv_0008	common_voice_ja_39074790	2.808	2.450	0.873	8	3.27		
cv_0008	common_voice_ja_39075508	3.060	1.695	0.554	12	7.08		
cv_0008	common_voice_ja_39073326	4.788	3.715	0.776	36	9.69		
cv_0008	common_voice_ja_39074419	3.240	2.879	0.889	11	3.82		
cv_0008	common_voice_ja_39072816	3.636	2.728	0.750	23	8.43		
cv_0008	common_voice_ja_39074276	2.916	1.126	0.386	10	8.88		
cv_0008	common_voice_ja_39078610	3.420	1.672	0.489	12	7.18		
cv_0008	common_voice_ja_39076197	3.456	2.032	0.588	0			
cv_0008	common_voice_ja_39072719	4.860	3.344	0.688	38	11.36		
cv_0008	common_voice_ja_39072083	4.320	3.228	0.747	0			
cv_0008	common_voice_ja_39075797	2.628	1.788	0.680	8	4.47		
cv_0008	common_voice_ja_39075164	3.060	1.834	0.599	13	7.09		
cv_0008	common_voice_ja_39074951	2.556	1.440	0.563	11	7.64		
cv_0008	common_voice_ja_39075386	3.996	2.635	0.659	0			
cv_0008	common_voice_ja_39072064	4.860	3.611	0.743	22	6.09		
cv_0008	common_voice_ja_39072080	7.776	6.293	0.809	0			
cv_0008	common_voice_ja_39075162	3.060	1.579	0.516	12	7.60		
cv_0008	common_voice_ja_39074786	2.700	1.614	0.598	8	4.96		
cv_0008	common_voice_ja_39075740	6.588	5.457	0.828	0			
cv_0008	common_voice_ja_39073232	3.456	2.283	0.661	18	7.88		
cv_0008	common_voice_ja_39075738	4.500	3.239	0.720	23	7.10		
cv_0008	common_voice_ja_39074410	2.808	1.196	0.426	8	6.69		
cv_0008	common_voice_ja_39075733	2.376	0.569	0.239	5	8.79		
cv_0009	common_voice_ja_39002863	3.780	2.543	0.673	16	6.29	10877.119006849314	~11-12k(源22-24k)
cv_0009	common_voice_ja_39003440	4.500	3.042	0.676	0		10996.727397423663	~11-12k(源22-24k)
cv_0009	common_voice_ja_39002862	3.060	1.811	0.592	0			
cv_0009	common_voice_ja_39003180	4.896	3.402	0.695	0			
cv_0009	common_voice_ja_39003009	2.340	1.370	0.585	0			
cv_0009	common_voice_ja_39003397	8.496	6.838	0.805	0			
cv_0009	common_voice_ja_39002755	2.196	0.859	0.391	7	8.15		
cv_0009	common_voice_ja_39003085	4.608	3.297	0.715	25	7.58		
cv_0009	common_voice_ja_39002753	3.096	1.591	0.514	11	6.91		
cv_0009	common_voice_ja_39003209	3.420	1.672	0.489	0			
cv_0009	common_voice_ja_39003488	3.168	1.625	0.513	0			
cv_0009	common_voice_ja_39003492	7.740	6.641	0.858	52	7.83		
cv_0009	common_voice_ja_39003182	6.300	2.949	0.468	18	6.10		
cv_0009	common_voice_ja_39002676	3.168	1.695	0.535	0			
cv_0009	common_voice_ja_39003398	2.340	1.126	0.481	8	7.10		
cv_0009	common_voice_ja_39002647	2.628	1.324	0.504	11	8.31		
cv_0009	common_voice_ja_39002674	2.808	1.277	0.455	0			
cv_0009	common_voice_ja_39002538	3.348	2.032	0.607	0			
cv_0009	common_voice_ja_39003349	3.096	1.683	0.544	11	6.54		
cv_0009	common_voice_ja_39002501	3.276	2.392	0.730	0			
cv_0009	common_voice_ja_39003244	3.708	2.647	0.714	22	8.31		
cv_0009	common_voice_ja_39003293	4.536	2.589	0.571	0			
cv_0009	common_voice_ja_39003437	5.868	5.375	0.916	31	5.77		
cv_0010	common_voice_ja_36350362	3.348	1.997	0.596	17	8.51	9072.990098110464	~11-12k(源22-24k)
cv_0010	common_voice_ja_36350607	6.408	4.841	0.755	41	8.47	9934.604035521583	~11-12k(源22-24k)
cv_0010	common_voice_ja_36349773	3.600	2.218	0.616	21	9.47		
cv_0010	common_voice_ja_36350810	5.076	3.413	0.672	0			
cv_0010	common_voice_ja_36350683	3.780	2.322	0.614	20	8.61		
cv_0010	common_voice_ja_36349768	3.348	2.090	0.624	15	7.18		
cv_0010	common_voice_ja_36349481	2.808	1.672	0.595	15	8.97		
cv_0010	common_voice_ja_36349765	7.740	6.664	0.861	48	7.20		
cv_0010	common_voice_ja_36350202	3.420	2.009	0.587	18	8.96		
cv_0010	common_voice_ja_36349074	2.448	1.358	0.555	11	8.10		
cv_0010	common_voice_ja_36350817	3.060	1.463	0.478	10	6.84		
cv_0010	common_voice_ja_36350608	2.556	1.312	0.513	10	7.62		
cv_0010	common_voice_ja_36349570	8.028	6.478	0.807	54	8.34		
cv_0010	common_voice_ja_36350366	2.376	0.859	0.362	8	9.31		
cv_0010	common_voice_ja_36350813	5.796	3.994	0.689	33	8.26		
cv_0010	common_voice_ja_36349576	3.996	2.670	0.668	25	9.36		
cv_0010	common_voice_ja_36350684	4.356	2.136	0.490	0			
cv_0010	common_voice_ja_36349480	3.456	2.113	0.611	19	8.99		
cv_0010	common_voice_ja_36350134	3.276	1.753	0.535	13	7.42		
cv_0010	common_voice_ja_36349914	3.276	2.148	0.656	0			
cv_0010	common_voice_ja_36349915	5.616	4.447	0.792	42	9.44		
cv_0010	common_voice_ja_36349071	3.708	1.335	0.360	12	8.99		
cv_0010	common_voice_ja_36350685	6.156	3.611	0.587	30	8.31		
cv_0010	common_voice_ja_36349916	3.816	1.997	0.523	19	9.51		
cv_0010	common_voice_ja_36349758	4.788	3.274	0.684	0			
cv_0010	common_voice_ja_36349574	3.528	2.067	0.586	17	8.22		
cv_0010	common_voice_ja_36350133	2.556	1.324	0.518	12	9.06		
cv_0010	common_voice_ja_36350365	3.960	2.322	0.586	0			
cv_0010	common_voice_ja_36349073	2.448	1.138	0.465	0			
cv_0010	common_voice_ja_36350811	4.500	2.868	0.637	26	9.07		
cv_0010	common_voice_ja_36349912	2.916	1.149	0.394	10	8.70		
cv_0011	common_voice_ja_38998726	3.996	2.833	0.709	22	7.77	10979.815573770493	~11-12k(源22-24k)
cv_0011	common_voice_ja_38999497	6.768	5.271	0.779	0		10971.30928207599	~11-12k(源22-24k)
cv_0011	common_voice_ja_38998316	6.120	5.178	0.846	0			
cv_0011	common_voice_ja_38998913	7.200	5.526	0.767	47	8.51		
cv_0011	common_voice_ja_38999554	2.376	1.103	0.464	0			
cv_0011	common_voice_ja_38998185	3.528	1.962	0.556	0			
cv_0011	common_voice_ja_38998276	6.048	3.332	0.551	0			
cv_0011	common_voice_ja_38997927	3.168	1.718	0.542	12	6.98		
cv_0011	common_voice_ja_38998096	3.420	1.428	0.418	0			
cv_0011	common_voice_ja_38998914	4.500	2.891	0.642	0			
cv_0011	common_voice_ja_38999499	2.628	1.231	0.468	0			
cv_0011	common_voice_ja_38999211	4.500	2.357	0.524	24	10.18		
cv_0011	common_voice_ja_38998501	5.940	4.505	0.758	40	8.88		
cv_0011	common_voice_ja_38997930	2.340	0.964	0.412	7	7.26		
cv_0011	common_voice_ja_38999340	4.680	3.762	0.804	33	8.77		
cv_0011	common_voice_ja_38998916	3.780	2.345	0.620	16	6.82		
cv_0011	common_voice_ja_38997929	2.916	1.393	0.478	10	7.18		
cv_0012	common_voice_ja_38883591	7.776	6.316	0.812	0		10683.002068014706	~11-12k(源22-24k)
cv_0012	common_voice_ja_38883632	9.324	8.197	0.879	0		10977.785554621103	~11-12k(源22-24k)
cv_0012	common_voice_ja_38883635	7.956	6.757	0.849	0			
cv_0012	common_voice_ja_38883718	8.280	6.641	0.802	68	10.24		
cv_0012	common_voice_ja_38883715	8.532	7.105	0.833	0			
cv_0012	common_voice_ja_38883578	9.288	7.964	0.857	80	10.05		
cv_0012	common_voice_ja_38883839	6.372	4.865	0.763	38	7.81		
cv_0012	common_voice_ja_38883677	5.976	4.203	0.703	43	10.23		
cv_0012	common_voice_ja_38883779	9.144	7.605	0.832	72	9.47		
cv_0012	common_voice_ja_38883820	10.548	9.009	0.854	0			
cv_0012	common_voice_ja_38883539	7.200	5.759	0.800	63	10.94		
cv_0012	common_voice_ja_38883551	8.208	6.722	0.819	60	8.93		
cv_0012	common_voice_ja_38883795	6.984	5.364	0.768	0			
cv_0012	common_voice_ja_38883669	7.164	5.445	0.760	0			
cv_0012	common_voice_ja_38883823	10.260	8.916	0.869	0			
cv_0012	common_voice_ja_38883633	7.344	5.979	0.814	0			
cv_0012	common_voice_ja_38883801	9.324	7.930	0.850	81	10.21		
cv_0012	common_voice_ja_38883794	10.188	8.905	0.874	82	9.21		
cv_0012	common_voice_ja_38883703	8.532	7.047	0.826	66	9.37		
cv_0012	common_voice_ja_38883679	7.668	6.072	0.792	61	10.05		
cv_0012	common_voice_ja_38883564	8.856	7.477	0.844	73	9.76		
cv_0012	common_voice_ja_38883717	7.812	6.293	0.806	59	9.38		
cv_0012	common_voice_ja_38883648	8.568	7.024	0.820	74	10.54		
cv_0012	common_voice_ja_38883675	7.848	6.374	0.812	54	8.47		
cv_0012	common_voice_ja_38883372	8.496	6.838	0.805	0			
cv_0012	common_voice_ja_38883589	8.604	7.175	0.834	70	9.76		
cv_0012	common_voice_ja_38883529	9.072	7.721	0.851	0			
cv_0012	common_voice_ja_38883376	9.576	8.092	0.845	79	9.76		
cv_0012	common_voice_ja_38883525	9.252	7.721	0.835	77	9.97		
cv_0012	common_voice_ja_38883647	5.868	4.191	0.714	38	9.07		
cv_0012	common_voice_ja_38883429	9.108	7.419	0.815	0			
cv_0013	common_voice_ja_38833993	8.136	7.254	0.892	55	7.58	10987.984156855879	~11-12k(源22-24k)
cv_0013	common_voice_ja_38833982	8.928	8.359	0.936	0		11018.749338780426	~11-12k(源22-24k)
cv_0013	common_voice_ja_38833955	2.808	2.460	0.876	0			
cv_0013	common_voice_ja_38834057	3.168	2.183	0.689	18	8.25		
cv_0013	common_voice_ja_38834030	7.236	6.165	0.852	0			
cv_0013	common_voice_ja_38833994	6.408	5.306	0.828	0			
cv_0013	common_voice_ja_38834036	8.460	7.593	0.898	0			
cv_0013	common_voice_ja_38834011	7.200	7.105	0.987	0			
cv_0013	common_voice_ja_38834018	8.748	7.964	0.910	0			
cv_0013	common_voice_ja_38834003	3.888	3.528	0.907	24	6.80		
cv_0013	common_voice_ja_38833992	6.660	6.107	0.917	0			
cv_0013	common_voice_ja_38833986	2.448	1.370	0.560	0			
cv_0013	common_voice_ja_38833983	6.948	5.306	0.764	46	8.67		
cv_0013	common_voice_ja_38834040	6.228	5.573	0.895	44	7.90		
cv_0013	common_voice_ja_38833975	8.496	7.941	0.935	63	7.93		
cv_0013	common_voice_ja_38833956	4.428	3.646	0.823	18	4.94		
cv_0013	common_voice_ja_38833976	7.848	7.558	0.963	0			
cv_0013	common_voice_ja_38833959	9.900	8.673	0.876	71	8.19		
cv_0013	common_voice_ja_38834043	9.900	8.824	0.891	66	7.48		
cv_0013	common_voice_ja_38833981	7.560	6.397	0.846	0			
cv_0013	common_voice_ja_38834053	4.536	3.553	0.783	0			
cv_0013	common_voice_ja_38833987	5.436	4.609	0.848	39	8.46		
cv_0013	common_voice_ja_38834044	2.376	1.428	0.601	0			
cv_0013	common_voice_ja_38834033	8.928	7.837	0.878	65	8.29		
cv_0013	common_voice_ja_38834051	6.156	4.992	0.811	45	9.01		
cv_0013	common_voice_ja_38834063	3.780	2.752	0.728	24	8.72		
cv_0013	common_voice_ja_38833995	10.296	10.122	0.983	0			
cv_0013	common_voice_ja_38834048	3.708	2.508	0.676	21	8.37		
cv_0013	common_voice_ja_38834058	7.776	6.536	0.841	0			
cv_0013	common_voice_ja_38834008	7.668	6.885	0.898	57	8.28		
cv_0013	common_voice_ja_38834005	2.628	2.303	0.876	11	4.78		
cv_0013	common_voice_ja_38834010	9.288	8.324	0.896	71	8.53		
cv_0013	common_voice_ja_38834045	6.840	6.142	0.898	43	7.00		
cv_0013	common_voice_ja_38833980	8.100	7.094	0.876	0			
cv_0013	common_voice_ja_38834023	2.628	1.254	0.477	14	11.16		
cv_0013	common_voice_ja_38834006	8.136	7.581	0.932	54	7.12		
cv_0014	common_voice_ja_42133923	2.340	1.521	0.650	9	5.92	8991.345121660304	<9k(電話帯域級?)
cv_0014	common_voice_ja_42132788	3.564	2.148	0.603	0		10199.987331081082	~11-12k(源22-24k)
cv_0014	common_voice_ja_42133922	3.420	2.276	0.665	18	7.91		
cv_0014	common_voice_ja_42133942	3.672	2.078	0.566	0			
cv_0014	common_voice_ja_42132783	2.520	2.113	0.838	12	5.68		
cv_0014	common_voice_ja_42133880	3.708	2.519	0.679	0			
cv_0014	common_voice_ja_42132768	4.068	2.821	0.693	0			
cv_0014	common_voice_ja_42133890	3.672	2.357	0.642	0			
cv_0014	common_voice_ja_42134310	2.700	1.416	0.524	11	7.77		
cv_0014	common_voice_ja_42132770	4.068	2.519	0.619	18	7.15		
cv_0014	common_voice_ja_42132793	5.544	4.435	0.800	0			
cv_0014	common_voice_ja_42134254	2.376	0.685	0.288	5	7.30		
cv_0014	common_voice_ja_42133894	5.040	4.029	0.799	0			
cv_0014	common_voice_ja_42133984	3.204	1.045	0.326	5	4.78		
cv_0014	common_voice_ja_42132790	12.672	11.668	0.921	0			
cv_0014	common_voice_ja_42133891	2.520	1.265	0.502	9	7.11		
cv_0014	common_voice_ja_42133861	6.156	4.098	0.666	29	7.08		
cv_0014	common_voice_ja_42134289	3.672	2.914	0.794	24	8.24		
cv_0014	common_voice_ja_42134269	12.276	11.401	0.929	0			
cv_0014	common_voice_ja_42132771	3.924	1.602	0.408	17	10.61		
cv_0014	common_voice_ja_42133906	6.264	5.085	0.812	35	6.88		
cv_0014	common_voice_ja_42132791	6.768	5.143	0.760	42	8.17		
cv_0014	common_voice_ja_42132779	4.140	2.972	0.718	22	7.40		
cv_0014	common_voice_ja_42133895	2.232	0.534	0.239	5	9.36		
cv_0014	common_voice_ja_42134268	1.944	0.813	0.418	4	4.92		
cv_0014	common_voice_ja_42133275	6.120	2.740	0.448	22	8.03		
cv_0014	common_voice_ja_42133908	3.600	1.533	0.426	0			
cv_0014	common_voice_ja_42133907	4.500	2.810	0.624	0			
cv_0014	common_voice_ja_42133877	2.664	1.498	0.562	8	5.34		
cv_0014	common_voice_ja_42132794	4.032	2.589	0.642	21	8.11		
cv_0014	common_voice_ja_42133958	2.448	0.604	0.247	0			
cv_0014	common_voice_ja_42133944	2.844	0.534	0.188	4	7.49		
cv_0014	common_voice_ja_42132781	6.192	5.120	0.827	31	6.05		
cv_0014	common_voice_ja_42133945	3.780	2.508	0.663	23	9.17		
cv_0014	common_voice_ja_42132764	5.184	2.659	0.513	0			
cv_0014	common_voice_ja_42134295	2.556	1.057	0.414	9	8.51		
cv_0014	common_voice_ja_42133983	4.428	3.042	0.687	28	9.20		
cv_0014	common_voice_ja_42134287	8.172	6.385	0.781	55	8.61		
cv_0014	common_voice_ja_42133956	8.208	6.873	0.837	43	6.26		
cv_0014	common_voice_ja_42133924	2.916	0.511	0.175	4	7.83		
cv_0014	common_voice_ja_42133957	2.880	1.660	0.576	9	5.42		
cv_0014	common_voice_ja_42132766	4.068	2.113	0.519	20	9.47		
cv_0014	common_voice_ja_42133971	2.628	1.057	0.402	9	8.51		
cv_0014	common_voice_ja_42133893	2.736	1.881	0.688	0			
cv_0014	common_voice_ja_42133866	3.240	1.974	0.609	0			
cv_0014	common_voice_ja_42134255	3.132	1.718	0.549	10	5.82		
cv_0014	common_voice_ja_42132787	10.584	8.963	0.847	0			
cv_0014	common_voice_ja_42133974	2.628	1.509	0.574	12	7.95		
cv_0014	common_voice_ja_42133863	6.192	4.354	0.703	0			
cv_0014	common_voice_ja_42133876	1.872	0.569	0.304	4	7.03		
cv_0014	common_voice_ja_42133973	1.980	0.546	0.276	4	7.33		
cv_0014	common_voice_ja_42132769	4.644	2.415	0.520	12	4.97		
cv_0014	common_voice_ja_42132806	3.384	1.730	0.511	16	9.25		
cv_0014	common_voice_ja_42132772	5.976	3.657	0.612	30	8.20		
cv_0014	common_voice_ja_42134257	3.132	1.463	0.467	12	8.20		
cv_0014	common_voice_ja_42132780	3.024	2.090	0.691	13	6.22		
cv_0015	common_voice_ja_42053591	4.644	4.075	0.877	0		10991.626602564102	~11-12k(源22-24k)
cv_0015	common_voice_ja_42053658	3.852	3.239	0.841	0		10822.479838709678	~11-12k(源22-24k)
cv_0015	common_voice_ja_42053624	3.276	0.824	0.252	0			
cv_0015	common_voice_ja_42053675	2.952	2.055	0.696	9	4.38		
cv_0015	common_voice_ja_42053681	2.448	1.207	0.493	11	9.11		
cv_0015	common_voice_ja_42053680	2.376	1.265	0.532	8	6.32		
cv_0015	common_voice_ja_42053600	2.268	1.115	0.492	5	4.48		
cv_0015	common_voice_ja_42053670	3.996	2.566	0.642	0			
cv_0015	common_voice_ja_42053631	2.916	1.509	0.517	12	7.95		
cv_0015	common_voice_ja_42053628	4.392	2.810	0.640	24	8.54		
cv_0015	common_voice_ja_42053682	5.112	4.992	0.977	31	6.21		
cv_0015	common_voice_ja_42053663	2.268	1.045	0.461	9	8.61		
cv_0015	common_voice_ja_42053555	3.240	1.115	0.344	8	7.17		
